ProductId,design_code,name,category,diameter,ring_size,base_thickness,base_width,prongs_height,status
418,BNC7009,Warmest Embrace,Nhẫn cưới,,M.17-F.10,,,,Active
419,BNC7010,Tender Love,Nhẫn cưới,,M.15-F.11,,,,Active
420,NCC8001,,Nhẫn cưới,,M.16-F.11,,,,Active
421,NCC8002,,Nhẫn cưới,,M.14-F.07,,,,Active
422,NCC8003,,Nhẫn cưới,,M.14-F.10,,,,Active
423,NCC8010,Petal of Happiness,Nhẫn cưới,,M.18-F.11,,,,Active
424,NCC9003,,Nhẫn cưới,,M.18-F.09,,,,Active
425,NCC9004,,Nhẫn cưới,,M.18-F.10,,,,Active
426,NCC9006,,Nhẫn cưới,,M.19-F.09,,,,Active
427,NCC9007,,Nhẫn cưới,,M.15-F.09,,,,Active
428,NCC9009,,Nhẫn cưới,,M.15-F.10,,,,Active
429,NCC9010,,Nhẫn cưới,,M.15-F.09,,,,Active
430,NCC9011,Petal of Happiness,Nhẫn cưới,,M.18-F.12,,,,Active
431,NCF0001,,Nhẫn cưới nữ,,8.5,1.5,,,Active
432,NCF0002,,Nhẫn cưới nữ,,8,1.8,,,Active
433,NCF0004,,Nhẫn cưới nữ,,11.5,1.3,,,Active
434,NCF0005,,Nhẫn cưới nữ,,11,1.3,,,Active
435,NCF0006,,Nhẫn cưới nữ,,9,1.4,,,Active
436,NCF0007,,Nhẫn cưới nữ,,15,2.1,,,Active
437,NCF0009,,Nhẫn cưới nữ,,9,1.3,,,Active
438,NCF0010,,Nhẫn cưới nữ,,9,1.3,,,Active
439,NCF0011,,Nhẫn cưới nữ,,10,1.6,,,Active
440,NCF0012,,Nhẫn cưới nữ,,5,1.3,,,Active
441,NCF0013,,Nhẫn cưới nữ,,11,1.7,,,Active
442,NCF0016,,Nhẫn cưới nữ,,10,1.4,,,Active
443,NCF0017,,Nhẫn cưới nữ,,11,1.3,,,Active
444,NCF0018,,Nhẫn cưới nữ,,11,1.4,,,Active
445,NCF0022,,Nhẫn cưới nữ,,11,1.6,,,Active
446,NCF0024,,Nhẫn cưới nữ,,11,1.4,,,Active
447,NCF0027,,Nhẫn cưới nữ,,10,1.7,,,Active
448,NCF0029,Twisted Love,Nhẫn cưới nữ,,9,1.7,,,Active
449,NCF0036,,Nhẫn cưới nữ,,12,1.3,,,Active
450,NCF0040,,Nhẫn cưới nữ,,12,2.5,,,Active
451,NCF0041,,Nhẫn cưới nữ,,11,1.5,,,Active
